Movie_name,Cast Info,Genre Info
My Left Foot,"The cast of the movie My Left Foot includes Brenda Fricker as Mrs. Brown,Daniel Day-Lewis as Christy Brown,Alison Whelan as Sheila,Cyril Cusack as Lord Castlewelland,Declan Croghan as Tom,Derry Power as Customer In Bar,Eanna MacLiam as Benny,Fiona Shaw as Dr. Eileen Cole,Hugh O'Conor as Young Christy Brown,Kirsten Sheridan as Sharon,Marie Conmee as Sadie,Pat Laffan as Barman,Phelim Drew as Brian,Ray McAnally as Mr. Brown,Ruth McCabe as Mary.","The genre of the movie is Biography,Drama."
The Third Man,"The cast of the movie The Third Man includes Alida Valli as Anna Schmidt,Bernard Lee as Sgt. Paine,Erich Ponto as Dr. Winkel,Ernst Deutsch as 'Baron' Kurtz,Joseph Cotten as Holly Martins,Orson Welles as Harry Lime,Paul Hörbiger as Karl - Harry's Porter,Siegfried Breuer as Popescu,Trevor Howard as Maj. Calloway,Wilfrid Hyde-White as Crabbin,Harold Ayer as Soldier,Harry Belcher as Man Chasing Holly,Hedwig Bleibtreu as Anna's Old Landlady,Jack Arrow as International Patrol A,Nelly Arno as Kurtz's Mother.","The genre of the movie is Mystery,Thriller,Film-Noir."
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"The cast of the movie Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb includes George C. Scott as General 'Buck' Turgidson,Peter Sellers as Group Captain Lionel Mandrake/President Merkin Muffley/Dr. Strangelove,Frank Berry as Lieutenant Dietrich,Glenn Beck as Lieutenant Kivel,Hal Galili as Burpelson AFB Defense Team Member,Jack Creley as Mr. Staines,James Earl Jones as Lieutenant Lothar Zogg,Keenan Wynn as Colonel 'Bat' Guano,Peter Bull as Russian Ambassador Alexi De Sadesky,Robert O'Neil as Admiral Randolph,Roy Stephens as Frank,Shane Rimmer as Captain 'Ace' Owens,Slim Pickens as Major 'King' Kong,Sterling Hayden as Brigadier General Jack Ripper,Tracy Reed as Miss Scott.","The genre of the movie is Thriller,Comedy."
"Quo Vadis, Aida?","The cast of the movie Quo Vadis, Aida? includes Boris Isakovic as General Ratko Mladic,Boris Ler as Hamdija,Dino Bajrovic as Sejo,Emir Hadzihafizbegovic as Joka,Izudin Bajrovic as Nihad,Jasna Djuricic as Aida Selmanagic,Johan Heldenbergh as Colonel Karremans,Raymond Thiry as Major Franken,Reinout Bussemaker as Colonel Dr. Robben,Teun Luijkx as Captain Mintjes,Alban Ukaj as Tarik,Edita Malovcic as Vesna,Ermin Bravo as The Mayor,Jelena Kordic as Chamila,Juda Goslinga as Lieutenant Rutten.","The genre of the movie is Drama,History,War."
Gone with the Wind,"The cast of the movie Gone with the Wind includes Vivien Leigh as Scarlett - Their Daughter,Alicia Rhett as India - His Daughter,Ann Rutherford as Carreen - Their Daughter,Barbara O'Neil as Ellen - His Wife,Butterfly McQueen as Prissy - House Servant,Evelyn Keyes as Suellen - Their Daughter,Everett Brown as Big Sam - Field Foreman,Fred Crane as Stuart Tarleton - Scarlett's Beau,George Reeves as Brent Tarleton - Scarlett's Beau,Hattie McDaniel as Mammy - House Servant,Howard C. Hickman as John Wilkes,Leslie Howard as Ashley - His Son,Oscar Polk as Pork - House Servant,Thomas Mitchell as Gerald O'Hara,Victor Jory as Jonas Wilkerson - Field Overseer.","The genre of the movie is Drama,History,Romance,War."
"4 Months, 3 Weeks and 2 Days","The cast of the movie 4 Months, 3 Weeks and 2 Days includes Anamaria Marinca as Otilia,Vlad Ivanov as Viarel Aka Domnu' Bebe,Adi Carauleanu as Dr. Radu - Adi's Father,Alexandru Potocean as Adi Radu,Cerasela Iosifescu as Receptionist Tineretului,Constantin Bojog as Martu,Costica Babu as Tatal Gabitei,Cristina Burbuz as Marie-Jeanne Rusu,Doru Ana as Benzanirul,Eugenia Bosânceanu as Domnu' Bebe's Mother,Ion Sapdaru as Dr. Rusu,Laura Vasiliu as Gabriela 'Gabita' Dragut,Liliana Mocanu as Unireal Hotel Receptionist,Luminita Gheorghiu as Gina Radu - Adi's Mother,Marioara Sterian as Adela Racoviceanu,Mihaela Alexandru as Daniela,Monica Alexandrescu as Female Soldier,Tania Popa as Night Receptionist,Teodor Corban as Unireal Hotel Receptionist.",The genre of the movie is Drama.
Psycho,"The cast of the movie Psycho includes Anne Heche as Marion Crane,Vince Vaughn as Norman Bates,Anne Haney as Mrs. Eliza Chambers,Chad Everett as Tom Cassidy,James LeGros as Charlie The Car Dealer,James Remar as Patrolman,Julianne Moore as Lila Crane,O.B. Babbs as Mechanic,Philip Baker Hall as Sheriff Al Chambers,Rance Howard as Mr. Lowery,Rita Wilson as Caroline,Robert Forster as Dr. Fred Simon,Steven Clark Pachosa as Police Guard,Viggo Mortensen as Samuel 'Sam' Loomis,William H. Macy as Milton Arbogast.","The genre of the movie is Mystery,Thriller,Horror."
Battleship Potemkin,"The cast of the movie Battleship Potemkin includes A. Glauberman as Wounded Boy,Aleksandr Antonov as Grigory Vakulinchuk,Aleksandr Levshin as Petty Officer,Grigoriy Aleksandrov as Chief Officer Giliarovsky,Ivan Bobrov as Young Sailor Flogged While Sleeping,Konstantin Feldman as Student Agitator,Mikhail Gomorov as Militant Sailor,N. Poltavtseva as Woman With Pince-Nez,Prokhorenko as Mother Carrying Wounded Boy,Vladimir Barskiy as Commander Golikov,Beatrice Vitoldi as Woman With Baby Carriage,Daniil Antonovich as Sailor,Iona Biy-Brodskiy as Student,Julia Eisenstein as Woman With Food For Sailors,Sergei M. Eisenstein as Odessa Citizen.","The genre of the movie is Drama,History,Thriller,War."
A Streetcar Named Desire,"The cast of the movie A Streetcar Named Desire includes Ann Dere as The Matron,Karl Malden as Harold 'Mitch' Mitchell,Kim Hunter as Stella Kowalski,Marlon Brando as Stanley Kowalski,Nick Dennis as Pablo Gonzalez,Peg Hillias as Eunice Hull,Richard Garrick as The Doctor,Rudy Bond as Steve Hull,Vivien Leigh as Blanche DuBois,Wright King as Newspaper Collector,Dahn Ben Amotz as Minor Role,Edna Thomas as The Mexican Woman,Marietta Canty as Giggling Woman With Eunice,Mel Archer as Foreman,Mickey Kuhn as The Helpful Sailor.",The genre of the movie is Drama.
The Maltese Falcon,"The cast of the movie The Maltese Falcon includes Barton MacLane as Lt. Of Detectives Dundy,Elisha Cook Jr. as Wilmer Cook,Gladys George as Iva Archer,Humphrey Bogart as Samuel Spade,Jerome Cowan as Miles Archer,Lee Patrick as Effie Perine,Mary Astor as Brigid O'Shaughnessy,Peter Lorre as Joel Cairo,Sydney Greenstreet as Kasper Gutman,Ward Bond as Detective Tom Polhaus,Charles Drake as Reporter,Chester Gan as Bit Part,James Burke as Luke,John Hamilton as Bryan,Murray Alper as Frank Richman.","The genre of the movie is Mystery,Film-Noir."
American Graffiti,"The cast of the movie American Graffiti includes Bo Hopkins as Joe,Candy Clark as Debbie,Charles Martin Smith as Terry,Cindy Williams as Laurie,Mackenzie Phillips as Carol,Manuel Padilla Jr. as Carlos,Paul Le Mat as John,Richard Dreyfuss as Curt,Ron Howard as Steve,Wolfman Jack as Disc Jockey,Beau Gentry as Ants,Deby Celiz as Wendy,Harrison Ford as Bob Falfa,Jana Bellan as Budda,Jim Bohan as Holstein.","The genre of the movie is Drama,Comedy."
Dumbo,"The cast of the movie Dumbo includes Alan Arkin as J. Griffin Remington,Bern Collaco as Joplin Audience Member,Colin Farrell as Holt Farrier,Danny DeVito as Max Medici,Deobia Oparei as Rongo,Eva Green as Colette Marchant,Finley Hobbins as Joe Farrier,Jo Osmond as Circus Cook,Joseph Gatt as Neils Skellig,Kamil Lemieszewski as Circus Attendant,Lars Eidinger as Hans Brugelbecker,Lucy DeVito as Coat Check Girl,Michael Buffer as Baritone Bates,Michael Keaton as V. A. Vandevere,Nico Parker as Milly Farrier,Roshan Seth as Pramesh Singh,Sandy Martin as Verna The Secretary,Sharon Rooney as Miss Atlantis,Bern Collaco as Joplin Audience Member,Bernardo Santos as Circus Attendant,Deobia Oparei as Rongo,Douglas Reith as Sotheby,Edd Osmond as ""Dumbo"" Performer,Jessie Vinning as Dreamland New Yorker,Jo Osmond as Circus Cook,Joseph Gatt as Neils Skellig,Lars Eidinger as Hans Brugelbecker,Michael Buffer as Baritone Bates,Miguel Muñoz Segura as Ivan The Wonderful,Nico Parker as Milly Farrier,Phil Zimmerman as Rufus Sorghum,Roshan Seth as Pramesh Singh,Sandy Martin as Verna The Secretary,Sarah Bennani as Lindsay,Sharon Rooney as Miss Atlantis,Suan-Li Ong as Fringe Girl Dancer,Zenaida Alcalde as Catherine The Greater,Zoë Scott as Lavish Apartment Maid.","The genre of the movie is Adventure,Fantasy,Animation,Family."
Roma,"The cast of the movie Roma includes Andy Cortés as Ignacio,Carlos Peralta as Paco,Daniela Demesa as Sofi,Diego Cortina Autrey as Toño,Fernando Grediaga as Sr. Antonio,Marco Graf as Pepe,Marina de Tavira as Sra. Sofía,Nancy García García as Adela,Verónica García as Sra. Teresa,Yalitza Aparicio as Cleo,Jorge Antonio Guerrero as Fermín,José Luis López Gómez as Pediatra,José Manuel Guerrero Mendoza as Ramón,Latin Lover as Profesor Zovek,Zarela Lizbeth Chinolla Arellano as Dra. Velez.",The genre of the movie is Drama.
Ran,"The cast of the movie Ran includes Akira Terao as Taro Takatora Ichimonji,Daisuke Ryû as Saburo Naotora Ichimonji,Jinpachi Nezu as Jiro Masatora Ichimonji,Tatsuya Nakadai as Lord Hidetora Ichimonji,Hisashi Igawa as Shuri Kurogane,Kazuo Katô as Kageyu Ikoma,Kenji Kodama as Samon Shirane,Mansai Nomura as Tsurumaru,Masayuki Yui as Tango Hirayama,Mieko Harada as Lady Kaede,Norio Matsui as Shumenosuke Ogura,Peter as Kyoami,Takashi Watanabe as Cast,Toshiya Ito as Mondo Naganuma,Yoshiko Miyazaki as Lady Sue.","The genre of the movie is Action,Drama,War."
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)","The cast of the movie Summer of Soul (...Or, When the Revolution Could Not Be Televised) includes Abbey Lincoln as Principal Cast,B.B. King as Self,David Ruffin as Principal Cast,Jesse Jackson as Principal Cast,Mahalia Jackson as Principal Cast,Max Roach as Self,Moms Mabley as Principal Cast,Nina Simone as Self,Sal Masekela as Self,Stevie Wonder as Principal Cast,Gladys Knight & The Pips as Cast,Mavis Staples as Cast,Sly and the Family Stone as Self,The 5th Dimension as Cast,The Chambers Brothers as Cast.",The genre of the movie is Documentary.
The Shop Around the Corner,"The cast of the movie The Shop Around the Corner includes Edwin Maxwell as Doctor,Felix Bressart as Pirovitch,Frank Morgan as Hugo Matuschek,Inez Courtney as Ilona,James Stewart as Alfred Kralik,Joseph Schildkraut as Ferencz Vadas,Margaret Sullavan as Klara Novak,Sara Haden as Flora,Sarah Edwards as Woman Customer,William Tracy as Pepi Katona,Charles Arnt as Policeman,Charles Halton as Detective,Charles Smith as Rudy,Joan Blair as Customer Recognizing Matuschek,Mary Carr as Grandmother.","The genre of the movie is Drama,Comedy,Romance."
12 Angry Men,"The cast of the movie 12 Angry Men includes Henry Fonda as Juror 8,Lee J. Cobb as Juror 3,E.G. Marshall as Juror 4,Ed Begley as Juror 10,Edward Binns as Juror 6,George Voskovec as Juror 11,Jack Klugman as Juror 5,Jack Warden as Juror 7,James Kelly as Guard,John Fiedler as Juror 2,Joseph Sweeney as Juror 9,Martin Balsam as Juror 1,Robert Webber as Juror 12,Rudy Bond as Judge,Tom Gorman as Stenographer.","The genre of the movie is Drama,Crime."
